u	!<cmd>    Run given command as in system(3)	!<cmd>    像在 system(3) 中一样运行给定命令
u	"cmd":"...","json":false,"trim":true} # `cmd` is required	# 必需提供 `cmd`
u	$alias[=cmd] [args...]  Manage command/data aliases	$alias[=cmd] [args...]  管理命令/数据别名
u	%[name[=value]]  Set each NAME to VALUE in the environment	%[name[=value]]  将每个 NAME 设置为环境中的 VALUE
u	&[-|<cmd>]  Manage tasks (WARNING: Experimental. Use with caution!)	&[-|<cmd>]  管理任务 (警告: 实验性功能, 请谨慎使用!)
u	*<addr>[=[0x]value]  Pointer read/write data/values	*<addr>[=[0x]value]  指针读/写数据/值
u	,[,.-/*jhr] [file]  # load table data	,[,.-/*jhr] [file]  # 加载表数据
u	-  open editor and run the r2 commands saved in the file	-  打开编辑器并运行文件中保存的 r2 命令
u	.[r2cmd] | [file] | [!command] | [(macro)]  # define macro or interpret r2, r_lang,	.[r2cmd] | [file] | [!command] | [(macro)]  # 定义宏或解释执行 r2, r_lang,
u	/[!bf] [arg]  Search stuff (see 'e??search' for options)	/[!bf] [arg]  搜索内容 (选项见 'e??search')
u	/a[?] [arg]  Search for assembly instructions matching given properties	/a[?] [arg]  搜索匹配给定属性的汇编指令
u	/at[flmj] [arg]  Search for instructions matching type/family/mnemonic	/at[flmj] [arg]  搜索匹配类型/家族/助记符的指令
u	/b[p]<command> [value]  Backward search subcommands	/b[p]<command> [value]  反向搜索子命令
u	/c  Search for crypto materials	/c  搜索加密材料
u	/cc[aAldpb] [algo] [digest]  find collisions	/cc[aAldpb] [algo] [digest]  查找碰撞
u	/d delta  search for a deltified sequence of bytes.	/d delta  搜索增量化的字节序列
u	/f    search forwards, command modifier, followed by other command	/f    向前搜索，命令修饰符，后跟其他命令
u	/g  search for gadgets	/g  搜索小工具
u	/gk  query stored gadgets	/gk  查询已存储的小工具
u	/k[j] [foo]  search for string using Rabin Karp algorithm	/k[j] [foo]  使用 Rabin Karp 算法搜索字符串
u	/p[p]  [pattern]  Search for patterns or preludes	/p[p]  [pattern]  搜索模式或前奏
u	/r[acerwx] [address]   search references to one or more addresses	/r[acerwx] [address]   搜索对一个或多个地址的引用
u	/s[*] [threshold]  Find sections by grouping blocks with similar entropy.	/s[*] [threshold]  通过分组具有相似熵的块来查找节
u	/w[ij] [str]  Wide string search subcommands	/w[ij] [str]  宽字符串搜索子命令
u	/x[v] [hexpairs]:[binmask]  search in memory	/x[v] [hexpairs]:[binmask]  在内存中搜索
u	=[:!+-=ghH] [...]   # connect with other instances of r2	=[:!+-=ghH] [...]   # 与其他 r2 实例连接
u	?[?[?]] expression	?[?[?]] 表达式
u	?e[=bdgnpst] arg print/echo things	?e[=bdgnpst] arg 打印/回显
u	CL .j-  @addr - manage code-line references (loaded via bin.dbginfo and shown when asm.dwarf)	CL .j-  @addr - 管理代码行引用（通过 bin.dbginfo 加载，在 asm.dwarf 时显示）
